ticker,statement_type,report_level,fiscal_date,currency,account_name,amount,source_system,load_time
IBM,balance_sheet,quarterly,2018-06-30,USD,cashAndCashEquivalentsAtCarryingValue,10741000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,cashAndShortTermInvestments,10741000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,inventory,1742000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,currentNetReceivables,28340000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,totalNonCurrentAssets,74828000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,propertyPlantEquipment,11024000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,accumulatedDepreciationAmortizationPPE,-21209000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,intangibleAssets,3344000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,intangibleAssetsExcludingGoodwill,3344000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,goodwill,36482000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,longTermInvestments,11301000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,shortTermInvestments,966000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,otherCurrentAssets,5006000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,totalLiabilities,102974000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,totalCurrentLiabilities,35442000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,currentAccountsPayable,5518000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,shortTermDebt,7646000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,totalNonCurrentLiabilities,67532000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,longTermDebt,37851000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,currentLongTermDebt,5448000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,shortLongTermDebtTotal,45497000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,otherCurrentLiabilities,7746000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,otherNonCurrentLiabilities,29681000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,totalShareholderEquity,18520000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,treasuryStock,-165366000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,retainedEarnings,157349000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,commonStock,54827000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-06-30,USD,commonStockSharesOutstanding,919400000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,totalAssets,125285000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,totalCurrentAssets,49122000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,cashAndCashEquivalentsAtCarryingValue,11949000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,cashAndShortTermInvestments,11949000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,inventory,1753000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,currentNetReceivables,29229000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,totalNonCurrentAssets,76162000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,propertyPlantEquipment,11278000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,accumulatedDepreciationAmortizationPPE,-21497000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,intangibleAssets,3522000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,intangibleAssetsExcludingGoodwill,3522000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,goodwill,36732000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,longTermInvestments,11798000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,shortTermInvestments,893000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,otherCurrentAssets,5298000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,totalLiabilities,106995000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,totalCurrentLiabilities,35733000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,currentAccountsPayable,5736000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,shortTermDebt,5976000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,totalNonCurrentLiabilities,71262000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,longTermDebt,40410000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,currentLongTermDebt,3764000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,shortLongTermDebtTotal,46387000000.0,AlphaVantage,2026-04-17T15:16:06
IBM,balance_sheet,quarterly,2018-03-31,USD,otherCurrentLiabilities,8044000000.0,AlphaVantage,2026-04-17T15:16:06
